Compound,RF,NN
CMP1,8.365263781,11.10243621
CMP2,7.153988721,8.240583383
CMP3,8.444551047,6.626931259
CMP4,7.185034222,6.764542418
CMP5,9.201434607,9.074083979
CMP6,6.694229329,6.433064708
CMP7,8.305019894,10.64449262
CMP8,6.972574275,8.504341343
CMP9,9.326908989,7.461639508
CMP10,9.263205835,10.91378968
CMP11,7.886767109,9.563889441
CMP12,8.281837847,10.04939843
CMP13,6.506346391,8.388602415
CMP14,9.479356244,9.119896446
CMP15,6.619554483,3.84709899
CMP16,7.853305434,9.958053214
CMP17,7.311954552,10.11531529
CMP18,9.600496435,7.30941402
CMP19,9.21419053,9.69564107
CMP20,8.146603392,9.130158633
CMP21,9.391390249,9.120020885
CMP22,8.522717198,9.953116738
CMP23,8.958628171,10.04329446
CMP24,9.770339226,10.13295808
CMP25,9.399968981,11.258756
CMP26,7.08349555,10.22073411
CMP27,9.098952505,10.71719268
CMP28,9.415295405,10.99305428
CMP29,6.846325973,4.317760378
CMP30,8.445854635,7.678159398
CMP31,9.646743516,9.992983932
CMP32,9.550898552,10.91359617
CMP33,9.612789993,11.1621833
CMP34,9.790565276,8.712018025
CMP35,8.352016799,6.437753894
CMP36,8.659794918,10.1974812
CMP37,8.907823546,7.514509404
CMP38,8.495041586,6.11993861
CMP39,9.25795728,9.729258955
CMP40,7.654107383,5.413863323
CMP41,6.630298967,7.860430338
CMP42,6.7619659,7.452889775
CMP43,7.166576093,8.183186391
CMP44,7.352783722,10.30585449
CMP45,9.286253669,9.864147598
CMP46,8.734976737,9.380067076
CMP47,9.28684758,9.808657026
CMP48,9.597316785,8.262233924
CMP49,7.574048793,8.302146471
CMP50,9.536702477,6.657205379
CMP51,8.184319057,7.190823994
CMP52,6.990729207,7.591881816
CMP53,9.623060863,10.98186794
CMP54,6.10032321,6.746361399
CMP55,9.542796247,10.00152799
CMP56,9.402511741,9.732958184
CMP57,9.283411312,8.035256749
CMP58,9.262465923,7.520677072
CMP59,7.67921485,8.068165058
CMP60,8.22675402,11.06654428
CMP61,7.894984011,7.454116519
CMP62,7.293402904,8.384704961
CMP63,6.950479853,7.725036349
CMP64,8.167674223,9.554456432
CMP65,9.28770907,9.229321673
CMP66,6.922507564,7.053295072
CMP67,7.853880251,8.346883625
CMP68,9.139498385,9.325707795
CMP69,7.854337335,6.930833484
CMP70,6.469712716,6.593701458
CMP71,7.492105405,8.332515892
CMP72,6.968628902,8.609778049
CMP73,6.989314812,6.58244352
CMP74,9.004332293,10.21875036
CMP75,7.185387942,7.883758755
CMP76,9.412375149,8.891688375
CMP77,7.925778696,6.546692044
CMP78,6.520540957,6.557104699
CMP79,6.788852797,6.290170046
CMP80,9.572033611,11.04993557
CMP81,7.962923365,5.165095385
CMP82,9.575114646,7.233315191
CMP83,9.026463544,8.85536559
CMP84,9.555562516,8.343953811
CMP85,9.322529666,10.54684952
CMP86,8.179496092,5.386221514
CMP87,9.398198482,11.1540294
CMP88,8.585630009,8.522007674
CMP89,9.562244961,6.91774215
CMP90,9.523352018,9.397497672
CMP91,8.47499799,9.776129501
CMP92,9.210130845,8.514739219
CMP93,9.012990061,6.352639616
CMP94,9.537272318,10.76556898
CMP95,9.776659257,8.823100528
CMP96,9.340692697,7.80161884
